window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,342,≥13,13,0.688961,0.0123021,0.0120978,-0.0168859,0.0125867,3.53946e+06,
6,342,≥25,25,0.579829,0.00434374,0.00427551,-0.0159594,0.00436225,3.53946e+06,
6,342,AVG,,0.682547,0.0643802,,-0.180411,,,4
6,348,≥0.1,0.1,0.714425,0.190784,0.123776,-0.541365,0.161592,3.54336e+06,
6,348,≥4,4,0.767671,0.0438987,0.0415825,-0.0556995,0.0461251,3.54336e+06,
6,348,≥13,13,0.674926,0.0145105,0.0141578,-0.0249159,0.0148528,3.54336e+06,
6,348,≥25,25,0.557386,0.0052079,0.00510524,-0.0201091,0.0052309,3.54336e+06,
6,348,AVG,,0.678602,0.0636004,,-0.160522,,,4
6,354,≥0.1,0.1,0.710874,0.145436,0.12174,-0.194647,0.155409,3.53367e+06,
6,354,≥4,4,0.722772,0.0365845,0.0358799,-0.0196366,0.038595,3.53367e+06,
6,354,≥13,13,0.633924,0.0115233,0.0113207,-0.0178939,0.011687,3.53367e+06,
6,354,≥25,25,0.553645,0.00418675,0.00412392,-0.0152359,0.00419791,3.53367e+06,
6,354,AVG,,0.655304,0.0494326,,-0.0618534,,,4
6,360,≥0.1,0.1,0.721985,0.148944,0.128862,-0.155838,0.169897,3.53068e+06,
6,360,≥4,4,0.741193,0.0408418,0.0400932,-0.0186709,0.0438654,3.53068e+06,
6,360,≥13,13,0.678334,0.0143503,0.0140856,-0.0187906,0.0146898,3.53068e+06,
6,360,≥25,25,0.584236,0.00557241,0.00547312,-0.0181419,0.00560033,3.53068e+06,
6,360,AVG,,0.681437,0.0524271,,-0.0528604,,,4
